Institution#,FemaleHSGPA,MaleHSGPA,FemaleACTMath,MaleACTMath,FemalesEnrolledPercent
128, 3.74, 3.53, 29.58, 27.16, 0.10084033613445378
205, 3.03, 3.325, 21.333, 19.333, 0.14285714285714285
361, 3.77, 3.77, 21.57, 22.71, 0.4117647058823529
319, 3.66, 3.56, 28, 27, 0.17880794701986755
238, 3.6133, 3.3791, 23.67, 22.82, 0.14285714285714285
64, 3.88, 3.79, 28.28, 31.75, 0.48148148148148145
157, 3.71, 3.32, 30, 29.5, 0.1875
157, 4, 3.61, 35, 32.07, 0.23255813953488372
157, 3.59, 3.14, 26.5, 33, 0.4
157, 3.77, 3.6, 31.67, 31.5, 0.4444444444444444
487, 3.8, 3.6, 26, 28, 0.16489361702127658
287, 3.45, 3.24, 21, 21.3, 0.2135593220338983
194, 3.99, 3.54, 27.2, 27.4, 0.07936507936507936
75, 4.1, 3.34, 17, 28, 0.13333333333333333
373, 3.7, 3.6, 34, 30, 0.10655737704918032
41, 3.33, 3.28, 20, 24, 0.12345679012345678
46, 3.25, 3.32, 22, 24.1, 0.125
361, 4.01, 3.84, 25.5, 26.64, 0.14432989690721648
489, 3.67, 3.3, 28.75, 26.23, 0.16
115, 3.67, 3.38, 26.15, 26.9, 0.16666666666666666
64, 3.84, 3.87, 32.08, 32.56, 0.17482517482517482
157, 3.7, 3.81, 33.52, 34.28, 0.27307692307692305
238, 3.3256, 3.5719, 23.89, 26.32, 0.1774193548387097
249, 3.91, 3.67, 25, 24, 0.1415929203539823
6, 3.67, 3.46, 26, 28, 0.13793103448275862
182, 3.79, 3.79, 27.6, 30.3, 0.1388888888888889
182, 3.54, 3.18, 25.6, 25.5, 0.16216216216216217
373, 3.6, 3.3, 32, 33, 0.5555555555555556
319, 3.54, 3.53, 24, 28, 0.275
75, 3.93, 3.83, 30, 30, 0.2248062015503876
182, 3.96, 3.81, 30.9, 30, 0.1592356687898089
115, 3.61, 3.51, 24.79, 25.61, 0.08854166666666667
487, 3.9, 3.8, 27, 28, 0.19047619047619047
287, 3.45, 3.24, 21, 21.3, 0.2135593220338983
487, 3.7, 3.7, 28, 27, 0.08490566037735849
373, 3.8, 3.6, 33, 32, 0.26666666666666666
46, 3.88, 3.63, 28, 27.6, 0.16666666666666666
489, 3.46, 3.41, 27, 27.09, 0.03571428571428571
115, 3.37, 3.39, 18, 26.6, 0.03571428571428571
194, 3.65, 3.58, 25.7, 28.1, 0.08641975308641975
194, 3.73, 3.46, 24.5, 26.8, 0.11538461538461539
487, 3.7, 3.7, 25, 27, 0.11607142857142858
287, 3.45, 3.24, 21, 21.3, 0.2135593220338983
373, 3.57, 3.68, 31, 30, 0.125
205, 3.445, 3.26, 24.5, 21.938, 0.13333333333333333
489, 3.29, 3.36, 28, 28.21, 0.06521739130434782
194, 3.93, 3.54, 29.4, 28.1, 0.10909090909090909
123, 3.79, 3.72, 24, 27, 0.14035087719298245
487, 3.8, 3.7, 27, 28, 0.11801242236024845
182, 3.75, 3.72, 29.2, 29.6, 0.0898876404494382
373, 3.3, 3.6, 31, 31, 0.24468085106382978
41, 3.2, 3.33, 26.6, 25.3, 0.08
238, 3.5867, 3.6213, 23.08, 24.99, 0.07608695652173914
