institution,femaleHSGPA,maleHSGPA,femaleACTMath,maleACTMath,femaleEnrollement,maleEnrollment
128,3.74,3.53,29.58,27.16,24,214
205,3.03,3.325,21.333,19.333,3,18
361,3.77,3.77,21.57,22.71,7,10
319,3.66,3.56,28,27,27,124
238,3.6133,3.3791,23.67,22.82,1,6
64,3.88,3.79,28.28,31.75,13,14
157,3.71,3.32,30,29.5,3,13
157,4,3.61,35,32.07,10,33
157,3.59,3.14,26.5,33,2,3
157,3.77,3.6,31.67,31.5,4,5
487,3.8,3.6,26,28,31,157
287,3.45,3.24,21,21.3,189,696
194,3.99,3.54,27.2,27.4,5,58
75,4.1,3.34,17,28,2,13
373,3.7,3.6,34,30,13,109
41,3.33,3.28,20,24,10,71
46,3.25,3.32,22,24.1,4,28
361,4.01,3.84,25.5,26.64,42,249
489,3.67,3.3,28.75,26.23,12,63
115,3.67,3.38,26.15,26.9,27,135
64,3.84,3.87,32.08,32.56,50,236
157,3.7,3.81,33.52,34.28,71,189
238,3.3256,3.5719,23.89,26.32,11,51
249,3.91,3.67,25,24,16,97
6,3.67,3.46,26,28,28,175
182,3.79,3.79,27.6,30.3,15,93
182,3.54,3.18,25.6,25.5,24,124
373,3.6,3.3,32,33,5,4
319,3.54,3.53,24,28,11,29
75,3.93,3.83,30,30,29,100
182,3.96,3.81,30.9,30,25,132
115,3.61,3.51,24.79,25.61,17,175
487,3.9,3.8,27,28,32,136
287,3.45,3.24,21,21.3,189,696
487,3.7,3.7,28,27,9,97
373,3.8,3.6,33,32,12,33
46,3.88,3.63,28,27.6,1,5
489,3.46,3.41,27,27.09,1,27
115,3.37,3.39,18,26.6,2,54
194,3.65,3.58,25.7,28.1,7,74
194,3.73,3.46,24.5,26.8,3,23
487,3.7,3.7,25,27,13,99
287,3.45,3.24,21,21.3,189,696
373,3.57,3.68,31,30,4,28
205,3.445,3.26,24.5,21.938,4,26
489,3.29,3.36,28,28.21,3,43
194,3.93,3.54,29.4,28.1,6,49
123,3.79,3.72,24,27,8,49
487,3.8,3.7,27,28,38,284
182,3.75,3.72,29.2,29.6,16,162
373,3.3,3.6,31,31,23,71
41,3.2,3.33,26.6,25.3,4,46
238,3.5867,3.6213,23.08,24.99,7,85
